x,y,label
1.0,0.46462753551056973,a
1.99,0.4662510909560978,a
2.98,0.4678629110718935,a
3.9699999999999998,0.46946310515484035,a
4.96,0.4710517814436477,a
5.95,0.47262904712417714,a
6.9399999999999995,0.4741950083344087,a
7.93,0.47574977017032893,a
8.92,0.4772934366911478,a
9.91,0.47882611092610894,a
10.9,0.4803478948797756,a
11.89,0.4818588895390245,a
12.879999999999999,0.48335919487953294,a
13.87,0.4848489098723834,a
14.86,0.486328132491052,a
15.85,0.4877969597184314,a
16.84,0.48925548755413506,a
17.83,0.4907038110215799,a
18.82,0.4921420241756031,a
19.81,0.49357022010995116,a
20.8,0.4949884909647576,a
21.79,0.4963969279344083,a
22.78,0.4977956212752307,a
23.77,0.49918466031325226,a
24.759999999999998,0.5005641334522474,a
25.75,0.5019341281816401,a
26.74,0.5032947310843419,a
27.73,0.5046460278449905,a
28.72,0.5059881032578352,a
29.71,0.5073210412349841,a
30.7,0.5086449248143735,a
31.69,0.5099598361678245,a
32.68,0.511265856609446,a
33.67,0.5125630666033641,a
34.66,0.5138515457722702,a
35.65,0.5151313729051212,a
36.64,0.5164026259656197,a
37.63,0.5176653821000052,a
38.62,0.5189197176454343,a
39.61,0.5201657081377539,a
40.6,0.52140342831969,a
41.589999999999996,0.5226329521489361,a
42.58,0.5238543528058556,a
43.57,0.5250677027016973,a
44.56,0.5262730734864476,a
45.55,0.5274705360565826,a
46.54,0.5286601605630735,a
47.53,0.5298420164190487,a
48.519999999999996,0.5310161723075767,a
49.51,0.5321826961894148,a
50.5,0.5333416553106862,a
51.49,0.534493116210337,a
52.48,0.535637144727852,a
53.47,0.5367738060107498,a
54.46,0.5379031645218972,a
55.45,0.5390252840470741,a
56.44,0.5401402277022357,a
57.43,0.5412480579407899,a
58.42,0.5423488365608928,a
59.41,0.5434426247125134,a
60.4,0.5445294829046858,a
61.39,0.5456094710124526,a
62.38,0.5466826482839134,a
63.37,0.5477490733471087,a
64.36,0.548808804216985,a
65.35,0.549861898302137,a
66.34,0.5509084124115181,a
67.33,0.5519484027612827,a
68.32,0.5529819249811755,a
69.31,0.554009034121383,a
70.3,0.5550297846587308,a
71.29,0.5560442305034428,a
72.28,0.5570524250051664,a
73.27,0.5580544209595771,a
74.26,0.5590502706144828,a
75.25,0.5600400256760607,a
76.24,0.5610237373149178,a
77.23,0.5620014561722123,a
78.22,0.5629732323656528,a
79.21,0.5639391154954225,a
80.2,0.5648991546499437,a
81.19,0.5658533984119481,a
82.17999999999999,0.5668018948639488,a
83.17,0.5677446915940831,a
84.16,0.5686818357017254,a
85.15,0.5696133738029611,a
86.14,0.5705393520362737,a
87.13,0.5714598160677771,a
88.12,0.5723748110967096,a
89.11,0.5732843818608008,a
90.1,0.5741885726414709,a
91.09,0.5750874272690213,a
92.08,0.5759809891277982,a
93.07,0.5768693011614069,a
94.06,0.5777524058775013,a
95.05,0.5786303453529377,a
96.03999999999999,0.5795031612387318,a
97.03,0.5803708947647372,a
98.02,0.5812335867445643,a
99.01,0.5820912775803846,a
